injection,heat,heat_stdev,ignore_point
2.35,-40.31921,0.04031921,True
1.5001,-50.94396,0.050943959999999996,False
1.5001,-48.53671,0.048536710000000004,False
1.5001,-52.08845,0.05208845,False
1.5001,-51.05446,0.05105446,False
1.5001,-52.06968,0.05206968,False
1.5001,-52.94526,0.05294526,False
1.5001,-54.99496,0.05499496,False
1.5001,-55.05545,0.05505545,False
1.5001,-55.2137,0.055213700000000004,False
1.5001,-54.69701,0.05469701,False
1.5001,-54.69689,0.054696890000000005,False
1.5001,-54.6212,0.0546212,False
1.5001,-54.80109,0.054801090000000004,False
1.5001,-54.66552,0.05466552,False
1.5001,-54.43437,0.05443437,False
0.5001,-18.01846,0.01801846,False
0.5001,-18.1224,0.0181224,False
0.5001,-17.95682,0.017956820000000002,False
0.5001,-17.83172,0.017831720000000002,False
0.5001,-17.81118,0.01781118,False
0.5001,-17.7561,0.0177561,False
0.5001,-17.42196,0.01742196,False
0.5001,-16.07464,0.016074639999999998,False
0.5001,-10.7181,0.0107181,False
0.5001,-0.75231,0.0007523100000000001,False
0.5001,2.28166,0.00228166,False
0.5001,2.09795,0.00209795,False
0.5001,1.44804,0.00144804,False
0.5001,0.47618,0.00047618,False
0.5001,0.0697,6.97e-05,False
0.5001,0.27546,0.00027546,False
0.5001,1.58165,0.00158165,False
0.5001,-0.00433,4.33e-06,False
0.5001,-0.11224,0.00011224000000000001,False
0.5001,-0.04631,4.6309999999999995e-05,False
0.5001,-0.32572,0.00032572,False
0.5001,0.12319,0.00012319,False
0.5001,-0.10969,0.00010969,False
0.5001,-0.05385,5.385e-05,False
0.5001,-0.10451,0.00010451000000000001,False
0.5001,-0.1808,0.0001808,False
0.5001,-0.20105,0.00020105,False
